item_id,customer_text,reply_draft,groundedness,resolution_helpfulness,brand_voice,safety
g_633980,<USER> I’m paying for a premium account but cannot log in how can I cancel payments,"Sorry you’re having trouble logging in to your Premium account. To investigate the issue and help you with any subscription changes, could you please DM us your account’s email address or username? Once we have that, we’ll look into it and get back to you right away.",,,,
g_2848332_simple,Stop airing my dm @spotifycares,<USER> Hi Becky! We've just replied to your DM /CX,,,,
g_2905908,@spotifycares Listen yall hoes keep send me these ads and I be like ¨all right let me sign¨ but every time I try to sign it wont let me. Do yall not want my money????,"Hey there, sorry you’re running into ads and can’t finish signing up. Could you DM us your account’s email or username so we can look into it? In the meantime, try signing in from a different device or browser to see if the same error shows up. Thanks for your patience!",,,,
g_2910958_simple,"<USER> I challenge you to try to purchase an online gift card for a full year of Spotify Premium and really test out your customer experience, it shouldn't be this hard to give you my money! #notelephonesupport","<USER> Hi, help's here! Can you DM us your account's email address and a bit more info about what's going on? We'll see what we can suggest /DD <URL>",,,,
g_500996_simple,"<USER> hallo mau nanya, apa ada persyaratan lain utk dapetincpromo ini? Aku terakhir stop subscription 27 Juni 2017 <URL>","<USER> Hey! We can help out in English via Twitter, but we also have Indonesian support via email at __email__ /GT",,,,
g_138289_simple,@spotifycares hey why is that you have your ad to upgrade to Spotify Premium translated into Vietnamese but don't accept Vietnamese cards for payment? <URL>,<USER> Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ <URL>,,,,
g_629903,<USER> hi why is your support team constantly ignoring my emails?,"Hi there! Sorry you’ve been waiting on a response. To look into this for you, could you please send us a direct message with the email address or username linked to your Spotify account? Once we have that, we’ll investigate why you haven’t heard back and get things moving forward.",,,,
g_2910926,<USER> where’s that new Cyanide and Silicone EP?,"Hey! Thanks for reaching out. The Cyanide and Silicone EP isn’t on Spotify yet, but we’re hoping it’ll be added soon. In the meantime you can check our content info page for any updates: <URL>. Let us know if you have any other questions!",,,,
g_2896,<USER> how? 9 pesos?,Hey! We’d like to look into the 9 peso charge for you. Could you please DM us your account’s email address (or username) so we can investigate further?,,,,
g_453468,"@spotifycares why cant i listen to that song? It says ""this song is not available in finland"" why???? <URL>","Hey there! The song you’re trying to play isn’t available in Finland right now due to licensing restrictions. Sometimes tracks are temporarily removed for these reasons, and we hope they’ll be back soon. We understand it’s frustrating—please keep an eye on the track and check back later. Thanks for your patience!",,,,
g_2736065_simple,@spotifycares I’ve done those steps Is there no way of retrieving my playlists?!?,"<USER> Thanks. Can you try logging out of Spotify, restarting your device, and logging back in to see if that helps? /NY",,,,
g_130898,<USER> How much will it cost after the 3 month trial @$0.99CAD??,Hey there! Could you DM us your account email address or username? We'll check your subscription details and let you know the price after the 3‑month trial.,,,,
g_2520080_simple,<USER> there's just one album from legendary Karate <URL> WHY?,<USER> Hey there! Can you send us the Artist URI? Just right-click the artist name &gt; Share &gt; URI. We'll take a look backstage /RS,,,,
