id,difficulty,customer_text,prior_context,final_intent,final_should_escalate,final_escalate_reason
g_44312,easy,<USER> How?,,not_a_support_request,False,The message is a vague question that can be answered with a generic clarification request; no human escalation is needed.
g_2905908,easy,@spotifycares Listen yall hoes keep send me these ads and I be like ¨all right let me sign¨ but every time I try to sign it wont let me. Do yall not want my money????,,login_or_account_access,True,User is unable to sign up due to a technical error.
g_2931614,hard,"@spotifycares Please get this fixed ASAP... the real Logic deserves credit, thank you for responding. ✌🏻","<USER> Hey Jacob, thanks for giving us the heads up! Don't worry, we'll pass this on to the right team. Let us know if you have other questions /GK",not_a_support_request,True,Customer explicitly requests urgent action to fix an issue.
g_2699557,easy,"@spotifycares Hi,I was trying to activate the premium pack for 0.99€ and I got charged 5 times.",,billing_or_subscription_charge,True,Multiple unauthorized charges require human intervention to process a refund.
g_2943783,hard,"@spotifycares iPhone 6s, iOS 11.1, and just updated to the newest Spotify. Still crashing","<USER> Hey Dan, that doesn't sound good. Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",playback_or_app_bug,False,Known iOS 11.1 crash bug with a documented workaround.
g_2854399,easy,"@spotifycares No worries, you're awesome really","<USER> Sorry to hear Discover Weekly wasn’t to your liking this week! It’ll be re-tuned on Monday. Check out &lt;inset Daily Mix, Fresh Finds, Release Radar&gt; in the meantime /DF",not_a_support_request,True,"The message is a positive compliment with no issue to resolve, making escalation unnecessary."
g_2848332,easy,Stop airing my dm @spotifycares,,account_data_or_privacy,True,User is demanding immediate cessation of public exposure of private messages.
g_555468,hard,@spotifycares how can i see my spotify statistics?,,how_to_or_usage_question,False,Simple FAQ query with a standard automated response available.
g_2312931,easy,@spotifycares help <URL>,,other,True,"The message contains a URL, which requires human review to verify safety and context."
g_700427,hard,@spotifycares You said last Christmas. Nothing materialised,"<USER> Hey! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /PB",billing_or_subscription_charge,True,"Customer cites a previous unresolved issue, indicating a repeat complaint requiring human intervention."
